,Simplified,Pinyin,English,Level,Part of Speech,No.
700,见面,jiànmiàn,to meet,3,,
701,讲,jiǎng,to speak; to talk,3,,
702,角,jiǎo,measure word for fractions; angle; currency,3,,
703,脚,jiǎo,foot,3,,
704,接,jiē,to pick up; to receive,3,,
705,街,jiē,street,3,,
706,节,jié,measure word for segments; sections; lessons; festival; joint; (to save; to control),3,,
707,结婚,jiéhūn,to marry,3,,
708,节目,jiémù,program,3,,
709,节日,jiérì,festival,3,,
710,结束,jiéshù,to end,3,,
711,解决,jiějué,to solve,3,,
712,姐妹,jiěmèi,sister,3,,
713,借,jiè,to borrow,3,,
714,斤,jīn,catty,3,,
715,经过,jīngguò,to pass; process,3,,
716,经理,jīnglǐ,manager,3,,
717,久,jiǔ,long,3,,
718,酒,jiǔ,alcohol,3,,
719,旧,jiù,old,3,,
720,句,jù,measure word of sentence,3,,
721,句子,jùzi,sentence,3,,
722,决定,juédìng,to decide; decision,3,,
723,卡,kǎ,card,3,,
724,开花,kāihuā,to bloom,3,,
725,开会,kāihuì,to have a meeting,3,,
726,开机,kāijī,to turn on device,3,,
727,开心,kāixīn,happy,3,,
728,看来,kànlái,it seems; it appears,3,,
729,可,kě,but; (yet),3,,
730,渴,kě,thirsty,3,,
731,可爱,kě’ài,lovely,3,,
732,可是,kěshì,but,3,,
733,刻,kè,quarter; to carve,3,,
734,课本,kèběn,textbook,3,,
735,客人,kèrén,guest,3,,
736,课文,kèwén,text,3,,
737,空调,kōngtiáo,air conditioner,3,,
738,哭,kū,to cry,3,,
739,筷子,kuàizi,chopsticks,3,,
740,矿泉水,kuàngquánshuǐ,mineral water,3,,
741,来自,láizì,to come from,3,,
742,蓝,lán,blue,3,,
743,老,lǎo,old; aged; prefix indicating seniority or endearment; (always; constantly),3,,
744,老人,lǎorén,elderly person,3,,
745,离开,líkāi,to leave,3,,
746,礼物,lǐwù,gift,3,,
747,历史,lìshǐ,history,3,,
748,脸,liǎn,face,3,,
749,练,liàn,to practice,3,,
750,练习,liànxí,to practice; exercise,3,,
751,凉快,liángkuai,cool,3,,
752,辆,liàng,measure word for vehicles,3,,
753,聊,liáo,to chat,3,,
754,聊天儿,liáotiānr,to chat,3,,
755,了解,liǎojiě,to understand,3,,
756,邻居,línjū,neighbor,3,,
757,留学,liúxué,to study abroad,3,,
758,留学生,liúxuéshēng,overseas student,3,,
759,楼梯,lóutī,stairs,3,,
760,路边,lùbiān,roadside,3,,
761,路口,lùkǒu,intersection,3,,
762,马,mǎ,horse,3,,
763,马路,mǎlù,road,3,,
764,马上,mǎshàng,immediately,3,,
765,满意,mǎnyì,satisfied,3,,
766,毛,máo,measure word for money; (hair),3,,
767,米,mǐ,meter,3,,
768,面前,miànqián,in front of,3,,
769,明白,míngbai,to understand; clear,3,,
770,名单,míngdān,name list,3,,
771,名人,míngrén,famous person,3,,
772,南,nán,south,3,,
773,难,nán,difficult; (to make difficult),3,,
774,南方,nánfāng,south,3,,
775,难过,nánguò,sad,3,,
776,难看,nánkàn,ugly,3,,
777,男人,nánrén,man,3,,
778,男生,nánshēng,boy student,3,,
779,难题,nántí,difficult problem,3,,
780,难听,nántīng,unpleasant to hear,3,,
781,年级,niánjí,grade,3,,
782,年轻,niánqīng,young,3,,
783,牛,niú,cow; (awesome),3,,
784,努力,nǔlì,to work hard; hardworking,3,,
785,女人,nǚrén,woman,3,,
786,女生,nǚshēng,girl student,3,,
787,爬,pá,to climb,3,,
788,怕,pà,to fear; (perhaps),3,,
789,拍照,pāizhào,to take a photo,3,,
790,盘子,pánzi,plate,3,,
791,胖,pàng,fat,3,,
792,啤酒,píjiǔ,beer,3,,
793,平时,píngshí,usually,3,,
794,瓶子,píngzi,bottle,3,,
795,骑,qí,to ride,3,,
796,奇怪,qíguài,strange,3,,
797,其实,qíshí,actually,3,,
798,其他,qítā,other,3,,
799,起,qǐ,to rise; to get up; (measure word for events),3,,
800,起飞,qǐfēi,to take off,3,,
801,汽车,qìchē,car,3,,
802,铅笔,qiānbǐ,pencil,3,,
803,前年,qiánnián,the year before last,3,,
804,前天,qiántiān,the day before yesterday,3,,
805,清楚,qīngchu,clear; obvious; to understand,3,,
806,请假,qǐngjià,to ask for leave,3,,
807,请客,qǐngkè,to invite guests; to treat someone,3,,
808,秋天,qiūtiān,autumn,3,,
809,球场,qiúchǎng,sports field; court,3,,
810,裙子,qúnzi,skirt,3,,
811,然后,ránhòu,then; afterwards,3,,
812,热情,rèqíng,enthusiastic,3,,
813,认得,rènde,to recognize; to know,3,,
814,认为,rènwéi,to think; to consider,3,,
815,认真,rènzhēn,serious; earnest,3,,
816,容易,róngyì,easy,3,,
817,如果,rúguǒ,if,3,,
818,伞,sǎn,umbrella,3,,
819,扫,sǎo,to sweep,3,,
820,沙发,shāfā,sofa,3,,
821,山,shān,mountain,3,,
822,上衣,shàngyī,jacket; top garment,3,,
823,勺子,sháozi,spoon,3,,
824,身边,shēnbiān,by one’s side,3,,
825,身高,shēngāo,height,3,,
826,声,shēng,sound; voice; measure word for sounds,3,,
827,生活,shēnghuó,life; to live,3,,
828,生气,shēngqì,to get angry,3,,
829,声音,shēngyīn,sound,3,,
830,市,shì,city,3,,
831,试,shì,to try,3,,
832,室,shì,room,3,,
833,世界,shìjiè,world,3,,
834,收,shōu,to receive,3,,
835,收到,shōudào,to receive,3,,
836,受,shòu,to receive; to be affected,3,,
837,瘦,shòu,thin; slim,3,,
838,受到,shòudào,to receive; to be subjected to,3,,
839,叔叔,shūshu,uncle,3,,
840,树,shù,tree,3,,
841,数学,shùxué,mathematics,3,,
842,刷,shuā,to brush; to scrub,3,,
843,双,shuāng,pair; measure word for pairs,3,,
844,水平,shuǐpíng,level; standard,3,,
845,司机,sījī,driver,3,,
846,四季,sìjì,four seasons,3,,
847,太阳,tàiyáng,sun,3,,
848,糖,táng,candy; sugar,3,,
849,特别,tèbié,special; particularly,3,,
850,提高,tígāo,to raise; to improve,3,,
851,体育,tǐyù,physical education,3,,
852,体育馆,tǐyùguǎn,gymnasium,3,,
853,甜,tián,sweet,3,,
854,跳,tiào,to jump,3,,
855,听说,tīngshuō,to hear said,3,,
856,挺,tǐng,quite; rather; (to endure),3,,
857,同事,tóngshì,colleague,3,,
858,同意,tóngyì,to agree,3,,
859,头发,tóufa,hair,3,,
860,突然,tūrán,sudden,3,,
861,图书馆,túshūguǎn,library,3,,
862,腿,tuǐ,leg,3,,
863,外地,wàidì,other place,3,,
864,外卖,wàimài,takeaway; to order takeout,3,,
865,外语,wàiyǔ,foreign language,3,,
866,完成,wánchéng,to complete,3,,
867,碗,wǎn,bowl,3,,
868,晚点,wǎndiǎn,to be late,3,,
869,晚会,wǎnhuì,evening party,3,,
870,网球,wǎngqiú,tennis,3,,
871,网站,wǎngzhàn,website,3,,
872,忘记,wàngjì,to forget,3,,
873,为,wèi,for; because of; to,3,,
874,为了,wèile,in order to,3,,
875,卫生间,wèishēngjiān,bathroom; restroom,3,,
876,文化,wénhuà,culture,3,,
877,屋子,wūzi,room; house,3,,
878,西,xī,west,3,,
879,西北,xīběi,northwest,3,,
880,西方,xīfāng,west,3,,
881,西瓜,xīguā,watermelon,3,,
882,西南,xīnán,southwest,3,,
883,习惯,xíguàn,to be used to; habit,3,,
884,喜爱,xǐ’ài,to like; to love,3,,
885,洗衣机,xǐyījī,washing machine,3,,
886,洗澡,xǐzǎo,to take a bath,3,,
887,夏天,xiàtiān,summer,3,,
888,先,xiān,first; before,3,,
889,香蕉,xiāngjiāo,banana,3,,
890,相信,xiāngxìn,to believe,3,,
891,箱子,xiāngzi,box; case,3,,
892,向,xiàng,to face; to turn toward; toward; to,3,,
893,像,xiàng,to resemble; to be like; (as if; such as); (image; statue; portrait),3,,
894,相机,xiàngjī,camera,3,,
895,小区,xiǎoqū,residential community,3,,
896,小心,xiǎoxīn,to be careful; careful,3,,
897,校园,xiàoyuán,campus,3,,
898,校长,xiàozhǎng,principal; headmaster,3,,
899,鞋,xié,shoe,3,,
900,心里,xīnlǐ,heart; mind,3,,
901,新年,xīnnián,New Year,3,,
902,新闻,xīnwén,news,3,,
903,新鲜,xīnxiān,fresh,3,,
904,信,xìn,to believe; letter,3,,
905,信用卡,xìnyòngkǎ,credit card,3,,
906,行,xíng,to go; okay; permissible,3,,
907,行李,xíngli,luggage,3,,
908,兴趣,xìngqù,interest,3,,
909,休假,xiūjià,to take a holiday,3,,
910,需要,xūyào,to need; need,3,,
911,选,xuǎn,to choose,3,,
912,选择,xuǎnzé,to choose,3,,
913,学期,xuéqī,semester,3,,
914,牙,yá,tooth,3,,
915,牙刷,yáshuā,toothbrush,3,,
916,羊,yáng,sheep,3,,
917,养,yǎng,to raise; to keep,3,,
918,要求,yāoqiú,to demand; requirement,3,,
919,页,yè,measure word for page,3,,
920,一定,yídìng,certain; certainly,3,,
921,一共,yígòng,altogether; in total,3,,
922,一块儿,yíkuàir,the same place; together,3,,
923,一样,yíyàng,same,3,,
924,以后,yǐhòu,later; after,3,,
925,以前,yǐqián,before,3,,
926,以上,yǐshàng,above; more than,3,,
927,以外,yǐwài,except; besides,3,,
928,以为,yǐwéi,to think; to believe,3,,
929,以下,yǐxià,below; less than,3,,
930,一般,yìbān,general; ordinary,3,,
931,一边,yìbiān,at the same time,3,,
932,一直,yìzhí,always; straight,3,,
933,音乐,yīnyuè,music,3,,
934,银行,yínháng,bank,3,,
935,银行卡,yínhángkǎ,bank card,3,,
936,饮料,yǐnliào,beverage,3,,
937,应该,yīnggāi,should; ought to,3,,
938,影响,yǐngxiǎng,to affect; influence,3,,
939,用,yòng,to use,3,,
940,邮件,yóujiàn,mail,3,,
941,游客,yóukè,tourist,3,,
942,游戏,yóuxì,game,3,,
943,邮箱,yóuxiāng,mailbox,3,,
944,有关,yǒuguān,to have to do with; concerning,3,,
945,有名,yǒumíng,famous,3,,
946,有用,yǒuyòng,useful,3,,
947,又,yòu,again; also,3,,
948,羽毛球,yǔmáoqiú,badminton,3,,
949,语言,yǔyán,language,3,,
950,雨衣,yǔyī,raincoat,3,,
951,遇到,yùdào,to encounter,3,,
952,遇见,yùjiàn,to meet,3,,
953,园,yuán,garden,3,,
954,员,yuán,suffix for person with a certain job,3,,
955,愿意,yuànyì,willing,3,,
956,越,yuè,more; increasingly,3,,
957,月亮,yuèliang,moon,3,,
958,运动会,yùndònghuì,sports meet,3,,
959,运动员,yùndòngyuán,athlete,3,,
960,咱们,zánmen,we,3,,
961,脏,zāng,dirty,3,,
962,怎么办,zěnme bàn,what to do,3,,
963,怎样,zěnyàng,how,3,,
964,站,zhàn,to stand; station,3,,
965,张,zhāng,to open; measure word for flat objects,3,,
966,长,zhǎng,to grow; suffix for head,3,,
967,着急,zháojí,anxious,3,,
968,照,zhào,to shine; to photograph,3,,
969,照顾,zhàogù,to take care of,3,,
970,照片,zhàopiàn,photo,3,,
971,照相,zhàoxiàng,to take a picture,3,,
972,直到,zhídào,until,3,,
973,只,zhǐ,only; merely,3,,
974,纸,zhǐ,paper,3,,
975,只能,zhǐ néng,can only,3,,
976,只是,zhǐshì,only; merely; but,3,,
977,只要,zhǐyào,as long as,3,,
978,只有,zhǐyǒu,only if,3,,
979,中,zhōng,middle,3,,
980,中间,zhōngjiān,middle; between,3,,
981,终于,zhōngyú,finally,3,,
982,种,zhǒng,measure word for kinds,3,,
983,重要,zhòngyào,important,3,,
984,周末,zhōumò,weekend,3,,
985,主要,zhǔyào,main,3,,
986,注意,zhùyì,to pay attention to,3,,
987,住院,zhùyuàn,to be hospitalized,3,,
988,字典,zìdiǎn,dictionary,3,,
989,自行车,zìxíngchē,bicycle,3,,
990,子,zi,noun suffix,3,,
991,总,zǒng,always; invariably; (to sum up; to assemble; total; overall),3,,
992,总是,zǒngshì,always,3,,
993,嘴,zuǐ,mouth,3,,
994,最好,zuìhǎo,best,3,,
995,最后,zuìhòu,last; final,3,,
996,最近,zuìjìn,recently,3,,
997,做客,zuòkè,to be a guest,3,,
998,作业,zuòyè,homework,3,,
999,啊,ā,ah; oh,4,interjection,
1000,爱情,àiqíng,love,4,noun,
1001,爱心,àixīn,compassion; caring,4,noun,
1002,安检,ānjiǎn,security check; to conduct security check,4,verb,
1003,安排,ānpái,to arrange,4,verb,
1004,按,àn,to press; to push; according to,4,verb、preposition,
1005,按时,ànshí,on time; on schedule,4,adverb,
1006,按照,ànzhào,according to; in accordance with,4,preposition,
1007,白酒,báijiǔ,liquor; spirit,4,noun,
1008,办公,bàngōng,to handle official business; to work,4,verb,
1009,办理,bànlǐ,to handle; to process,4,verb,
1010,办事,bànshì,to handle matters; to take care of things,4,verb,
1011,棒,bàng,great; excellent; (stick; club),4,adjective、（noun）,
1012,保护,bǎohù,to protect,4,verb,
1013,保证,bǎozhèng,to guarantee; to ensure; guarantee; assurance,4,verb、noun,
1014,抱,bào,to hold; to embrace; to hug,4,verb,
1015,报考,bàokǎo,to apply for an exam; to register for a test,4,verb,
1016,报名,bàomíng,to sign up; to register,4,verb,
1017,抱歉,bàoqiàn,sorry; apologetic,4,adjective,
1018,背,bēi,to carry on the back,4,verb,
1019,背包,bēibāo,backpack,4,noun,
1020,北部,běibù,northern part; north,4,noun,
1021,倍,bèi,measure word meaning times; -fold,4,classifier,
1022,本科,běnkē,undergraduate program,4,noun,
1023,本来,běnlái,original; former; originally; actually,4,adjective、adverb,
1024,笨,bèn,stupid; foolish,4,adjective,
1025,鼻子,bízi,nose,4,noun,
1026,笔试,bǐshì,written test; to take a written exam,4,verb,
1027,毕业,bìyè,to graduate,4,verb,
1028,毕业生,bìyèshēng,graduate,4,noun,
1029,便于,biànyú,to be convenient for; to facilitate,4,verb,
1030,标准,biāozhǔn,standard; standard; typical,4,noun、adjective,
1031,表,biǎo,watch; meter; table; form; (to express),4,noun、（verb）,
1032,表格,biǎogé,form; table,4,noun,
1033,表示,biǎoshì,to express; to indicate; to show,4,verb,
1034,表现,biǎoxiàn,to show; to display; to perform,4,verb,
1035,表扬,biǎoyáng,to praise; to commend,4,verb,
1036,饼干,bǐnggān,biscuit; cracker,4,noun,
1037,并,bìng,to combine; to merge; actually; indeed; and; also,4,verb、adverb、conjunction,
1038,并且,bìngqiě,and; moreover; furthermore,4,conjunction,
1039,播放,bōfàng,to broadcast; to play,4,verb,
1040,博士,bóshì,doctor,4,noun,
1041,不必,búbì,need not; not necessary,4,adverb,
1042,不便,búbiàn,inconvenient; to be short of money,4,adjective、verb,
1043,不断,búduàn,continuous; unceasing; continuously; constantly,4,verb、adverb,
1044,不够,búgòu,not enough; insufficient; not sufficiently,4,verb、adverb,
1045,不过,búguò,but; however; (only; merely),4,conjunction、（adverb）,
1046,不论,búlùn,no matter; regardless,4,conjunction,
1047,步,bù,step; pace,4,noun,
1048,部,bù,department; part; measure word for books; machines; etc.,4,noun、classifier,
1049,不得不,bùdébù,have to; cannot but,4,adverb,
1050,部分,bùfen,part; portion,4,noun,
1051,不管,bùguǎn,no matter; regardless of,4,conjunction,
1052,不光,bùguāng,not only; not only… (but also),4,adverb、conjunction,
1053,不仅,bùjǐn,not only,4,conjunction,
1054,不满,bùmǎn,dissatisfied; displeased,4,adjective,
1055,部门,bùmén,department; unit,4,noun,
1056,不如,bùrú,not as good as; inferior to,4,verb,
1057,擦,cā,to wipe; to rub,4,verb,
1058,猜,cāi,to guess,4,verb,
1059,材料,cáiliào,material; data,4,noun,
1060,参观,cānguān,to visit; to tour,4,verb,
1061,参赛,cānsài,to enter a competition,4,verb,
1062,餐厅,cāntīng,restaurant; dining hall,4,noun,
1063,操场,cāochǎng,playground,4,noun,
1064,厕所,cèsuǒ,toilet; restroom,4,noun,
1065,查看,chákàn,to check; to view,4,verb,
1066,茶叶,cháyè,tea leaf,4,noun,
1067,查找,cházhǎo,to search for; to look up,4,verb,
1068,差点儿,chàdiǎnr,poor; not good enough; almost; nearly,4,adjective、adverb,
1069,产生,chǎnshēng,to produce; to generate; to arise,4,verb,
1070,厂,chǎng,factory; plant,4,noun,
1071,场,chǎng,measure word for events; performances; etc.,4,classifier,
1072,超过,chāoguò,to exceed; to surpass,4,verb,
1073,车速,chēsù,vehicle speed,4,noun,
1074,车位,chēwèi,parking space,4,noun,
1075,城,chéng,city; town,4,noun,
1076,乘,chéng,to ride; to take; to multiply,4,verb,
1077,成功,chénggōng,to succeed; successful,4,verb、adjective,
1078,乘客,chéngkè,passenger,4,noun,
1079,诚实,chéngshí,honest,4,adjective,
1080,成为,chéngwéi,to become,4,verb,
1081,乘坐,chéngzuò,to ride; to take transportation,4,verb,
1082,吃惊,chījīng,to be startled; to be shocked,4,verb,
1083,迟,chí,late; delayed,4,adjective,
1084,重,chóng,again; once more; (to repeat),4,adverb、（verb）,
1085,重新,chóngxīn,again; anew,4,adverb,
1086,出差,chūchāi,to go on a business trip,4,verb,
1087,出口,chūkǒu,exit; (to export),4,noun、（verb）,
1088,出现,chūxiàn,to appear; to emerge,4,verb,
1089,出行,chūxíng,to travel; to go out,4,verb,
1090,出租,chūzū,to rent out,4,verb,
1091,厨房,chúfáng,kitchen,4,noun,
1092,厨师,chúshī,chef; cook,4,noun,
1093,窗,chuāng,window,4,noun,
1094,窗户,chuānghu,window,4,noun,
1095,吹,chuī,to blow,4,verb,
1096,词语,cíyǔ,word; phrase,4,noun,
1097,此,cǐ,this,4,pronoun,
1098,此次,cǐ cì,this time,4,,
1099,此外,cǐwài,besides; in addition; moreover,4,conjunction,
1100,从此,cóngcǐ,from then on; since then,4,adverb,
1101,从来,cónglái,always; at all times,4,adverb,
1102,从中,cóngzhōng,from among; from it,4,adverb,
1103,粗,cū,coarse; rough; thick,4,adjective,
1104,粗心,cūxīn,careless,4,adjective,
1105,村,cūn,village,4,noun,
1106,存,cún,to store; to keep; to exist,4,verb,
1107,错过,cuòguò,to miss; to let slip,4,verb,
1108,错误,cuòwù,wrong; mistaken; mistake; error,4,adjective、noun,
1109,答应,dāying,to agree; to promise; to reply,4,verb,
1110,答,dá,to answer; to reply,4,verb,
1111,答案,dá’àn,answer; solution,4,noun,
1112,达到,dádào,to reach; to achieve,4,verb,
1113,打招呼,dǎ zhāohu,to greet; to say hello,4,,
1114,打败,dǎbài,to defeat; to beat,4,verb,
1115,打工,dǎgōng,to work a temporary job,4,verb,
1116,打扰,dǎrǎo,to disturb; to bother,4,verb,
1117,打印,dǎyìn,to print,4,verb,
1118,打印机,dǎyìnjī,printer,4,noun,
1119,打折,dǎzhé,to give a discount,4,verb,
1120,打针,dǎzhēn,to get an injection; to receive a shot,4,verb,
1121,大巴,dàbā,large bus; coach,4,noun,
1122,大大,dàdà,greatly; significantly,4,adverb,
1123,大夫,dàifu,doctor (medical),4,noun,
1124,大量,dàliàng,large quantity; a large amount,4,adjective,
1125,大赛,dàsài,major competition; grand contest,4,noun,
1126,大厅,dàtīng,hall; lobby,4,noun,
1127,大约,dàyuē,approximately; about,4,adverb,
1128,大自然,dàzìrán,nature; the natural world,4,noun,
1129,待,dāi,to stay,4,verb,
1130,戴,dài,to wear; to put on,4,verb,
1131,袋子,dàizi,bag; sack,4,noun,
1132,单位,dānwèi,unit; department,4,noun,
1133,当,dāng,to serve as; to be; at the time of,4,verb、preposition,
1134,当时,dāngshí,at that time; then,4,noun,
1135,刀,dāo,knife,4,noun,
1136,导游,dǎoyóu,tour guide; to guide,4,verb、noun,
1137,倒,dào,to fall; to collapse; (however; but),4,verb、（adverb）,
1138,道,dào,path; way; method; measure word for long objects,4,noun、classifier,
1139,到底,dàodǐ,finally; after all; to the end,4,adverb,
1140,到来,dàolái,to arrive,4,verb,
1141,道路,dàolù,road; path,4,noun,
1142,道歉,dàoqiàn,to apologize,4,verb,
1143,得意,déyì,proud; complacent,4,adjective,
1144,登机,dēngjī,to board a plane,4,verb,
1145,等,děng,and so on; etc.; (class; grade; measure word),4,auxiliary、（noun、classifier）,
1146,等到,děngdào,until; by the time,4,preposition,
1147,低,dī,low; to lower,4,adjective、verb,
1148,低价,dījià,low price,4,noun,
1149,低温,dīwēn,low temperature,4,noun,
1150,低于,dīyú,to be lower than,4,verb,
1151,底,dǐ,bottom; base,4,noun,
1152,底下,dǐxia,below; underneath,4,noun,
1153,地球,dìqiú,earth,4,noun,
1154,地址,dìzhǐ,address,4,noun,
1155,点名,diǎnmíng,to call the roll; to mention by name,4,verb,
1156,点头,diǎntóu,to nod,4,verb,
1157,电动车,diàndòngchē,electric vehicle; e-bike,4,noun,
1158,电视剧,diànshìjù,TV drama,4,noun,
1159,掉,diào,to fall; to drop,4,verb,
1160,调查,diàochá,to investigate,4,verb,
1161,订,dìng,to order; to book,4,verb,
1162,定,dìng,to fix; to set; to determine,4,verb,
1163,东部,dōngbù,eastern part,4,noun,
1164,动车,dòngchē,high-speed train,4,noun,
1165,动作,dòngzuò,movement; action,4,noun,
1166,读者,dúzhě,reader,4,noun,
1167,堵车,dǔchē,traffic jam,4,verb,
1168,度假,dùjià,to go on vacation,4,verb,
1169,肚子,dùzi,belly; stomach,4,noun,
1170,短信,duǎnxìn,text message,4,noun,
1171,队,duì,team; squad; (Measure word for teams),4,noun、（classifier）,
